"Id","id"
"IsDeleted","boolean"
"MasterRecordId","reference"
"CaseNumber","string"
"ContactId","reference"
"AccountId","reference"
"AssetId","reference"
"SourceId","reference"
"ParentId","reference"
"SuppliedName","string"
"SuppliedEmail","email"
"SuppliedPhone","string"
"SuppliedCompany","string"
"Type","picklist"
"RecordTypeId","reference"
"Status","picklist"
"Reason","picklist"
"Origin","picklist"
"Subject","string"
"Priority","picklist"
"Description","textarea"
"IsClosed","boolean"
"ClosedDate","datetime"
"IsEscalated","boolean"
"OwnerId","reference"
"CreatedDate","datetime"
"CreatedById","reference"
"LastModifiedDate","datetime"
"LastModifiedById","reference"
"SystemModstamp","datetime"
"ContactPhone","phone"
"ContactMobile","phone"
"ContactEmail","email"
"ContactFax","phone"
"Comments","textarea"
"LastViewedDate","datetime"
"LastReferencedDate","datetime"
"EngineeringReqNumber__c","string"
"SLAViolation__c","picklist"
"Product__c","picklist"
"PotentialLiability__c","picklist"
